Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId,ERA
2018,Chad Bettis,COL,49.2,230,1.37735849,0.24096386,0.43975904,0.31927711,0.03773585,0.18867925,0.08219178,0,0.39181287,0.33918129,0.26900585,0.18128655,0.50292398,0.31578947,10587,7.08
2018,Tyler Anderson,COL,95.1,404,0.93636364,0.22545455,0.37454545,0.4,0.10909091,0.14545455,0.08737864,0,0.39928058,0.35971223,0.24100719,0.1942446,0.47841727,0.32733813,12880,4.15
2018,Jon Gray,COL,88,383,2.0952381,0.20731707,0.53658537,0.25609756,0.06349206,0.20634921,0.06060606,0.25,0.404,0.328,0.268,0.14,0.568,0.292,14916,4.91
2018,German Marquez,COL,89.1,393,2.01639344,0.24897959,0.50204082,0.24897959,0.06557377,0.21311475,0.05691057,0,0.38306452,0.34274194,0.27419355,0.18145161,0.46774194,0.35080645,15038,4.74
2018,Antonio Senzatela,COL,32.2,146,1.10526316,0.23076923,0.40384615,0.36538462,0.18421053,0.13157895,0.07142857,0,0.39622642,0.32075472,0.28301887,0.23584906,0.40566038,0.35849057,15488,4.83
2018,Kyle Freeland,COL,93.2,385,1.42528736,0.18217054,0.48062016,0.3372093,0.10344828,0.12643678,0.05645161,0.33333333,0.39772727,0.38257576,0.21969697,0.22348485,0.48106061,0.29545455,16256,2.4
2019,Chi Chi Gonzalez,COL,25.2,117,1.30769231,0.25,0.425,0.325,0.07692308,0.19230769,0.05882353,0,0.40963855,0.31325301,0.27710843,0.21686747,0.57831325,0.20481928,14663,5.26
2019,Jon Gray,COL,75,310,2.03773585,0.23696682,0.51184834,0.25118483,0.05660377,0.1509434,0.03703704,0,0.35483871,0.38248848,0.26267281,0.16589862,0.4562212,0.37788018,14916,3.46
2019,German Marquez,COL,73.1,330,1.86440678,0.23181818,0.5,0.26818182,0.01694915,0.22033898,0.01818182,0.14285714,0.3215859,0.39647577,0.28193833,0.14537445,0.50660793,0.34801762,15038,6.26
2019,Antonio Senzatela,COL,66.2,308,2.11864407,0.20689655,0.5387931,0.25431034,0.01694915,0.16949153,0.064,0.25,0.36864407,0.36864407,0.26271186,0.17372881,0.48728814,0.33898305,15488,6.21
2019,Kyle Freeland,COL,47.2,221,1.41071429,0.21052632,0.4619883,0.32748538,0.05357143,0.28571429,0.03797468,0,0.49132948,0.33526012,0.1734104,0.13294798,0.43930636,0.42774566,16256,9.25
2019,Jeff Hoffman,COL,42.2,190,1,0.21212121,0.39393939,0.39393939,0.05769231,0.25,0.03846154,0,0.42647059,0.30147059,0.27205882,0.17647059,0.45588235,0.36764706,17432,6.33
2019,Peter Lambert,COL,50,226,1.56603774,0.24022346,0.46368715,0.29608939,0.03773585,0.20754717,0.04819277,0,0.39779006,0.33701657,0.26519337,0.20441989,0.4198895,0.37569061,17969,7.2
2020,Jon Gray,COL,24.2,111,1.2,0.17204301,0.4516129,0.37634409,0.08571429,0.17142857,0.04761905,0,0.41935484,0.38709677,0.19354839,0.12903226,0.43010753,0.44086022,14916,8.39
2020,German Marquez,COL,38,165,2.18518519,0.27118644,0.5,0.22881356,0.07407407,0.07407407,0.08474576,0,0.38983051,0.33050847,0.27966102,0.09322034,0.44915254,0.45762712,15038,5.68
2020,Antonio Senzatela,COL,34.1,132,2.18518519,0.19626168,0.55140187,0.25233645,0.07407407,0.03703704,0.01694915,0,0.45794393,0.34579439,0.19626168,0.17757009,0.4953271,0.3271028,15488,2.1
2020,Kyle Freeland,COL,38.1,168,2.05882353,0.22962963,0.51851852,0.25185185,0.11764706,0.14705882,0.08571429,1,0.49264706,0.30882353,0.19852941,0.20588235,0.43382353,0.36029412,16256,4.46
2020,Ryan Castellani,COL,22.1,100,0.96153846,0.26086957,0.36231884,0.37681159,0.11538462,0.23076923,0,0,0.44927536,0.30434783,0.24637681,0.13043478,0.37681159,0.49275362,16377,6.66
2021,Chi Chi Gonzalez,COL,42.1,190,1.38,0.24203822,0.43949045,0.31847134,0.06,0.12,0.01449275,0,0.425,0.325,0.25,0.13125,0.40625,0.4625,14663,6.45
2021,Jon Gray,COL,78.1,327,1.64179104,0.14903846,0.52884615,0.32211538,0.04477612,0.17910448,0.03636364,0.33333333,0.4028436,0.36018957,0.23696682,0.13270142,0.51184834,0.35545024,14916,4.02
2021,German Marquez,COL,103,423,2.59677419,0.20071685,0.57706093,0.22222222,0.08064516,0.14516129,0.05590062,0,0.41843972,0.39361702,0.18794326,0.20212766,0.46099291,0.33687943,15038,3.67
2021,Antonio Senzatela,COL,90.2,375,2.07894737,0.2173913,0.52842809,0.2541806,0.09210526,0.06578947,0.05063291,0,0.31147541,0.38688525,0.30163934,0.11803279,0.51803279,0.36393443,15488,3.97
2021,Kyle Freeland,COL,59.2,261,1.37288136,0.24324324,0.43783784,0.31891892,0.15254237,0.18644068,0.0617284,0,0.41489362,0.35638298,0.2287234,0.16489362,0.53191489,0.30319149,16256,4.83
2021,Austin Gomber,COL,47.1,184,1.31818182,0.17741935,0.46774194,0.35483871,0.02272727,0.11363636,0.06896552,0,0.4375,0.3515625,0.2109375,0.1015625,0.5625,0.3359375,16561,2.09
